Plot Title: 10169139,,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V",Bad Battery,Coupler Attached,Coupler Detached,Stopped,End Of File
365,12/5/2020 20:16,4.415,0,2.77,,,,,
366,12/6/2020 2:16,1.221,0,2.75,,,,,
367,12/6/2020 8:16,1.112,258.3,2.75,,,,,
368,12/6/2020 14:16,1.872,1463.9,2.75,,,,,
369,12/6/2020 20:16,1.112,0,2.75,,,,,
370,12/7/2020 2:16,1.439,0,2.75,,,,,
371,12/7/2020 8:16,3.367,322.9,2.77,,,,,
372,12/7/2020 14:16,7.28,2669.5,2.79,,,,,
373,12/7/2020 20:16,7.179,0,2.79,,,,,
374,12/8/2020 2:16,8.68,0,2.81,,,,,
375,12/8/2020 8:16,9.176,279.9,2.81,,,,,
376,12/8/2020 14:16,9.866,2583.4,2.79,,,,,
377,12/8/2020 20:16,6.674,0,2.79,,,,,
378,12/9/2020 2:16,4.727,0,2.79,,,,,
379,12/9/2020 8:16,1.656,279.9,2.77,,,,,
380,12/9/2020 14:16,2.517,355.2,2.77,,,,,
381,12/9/2020 20:16,0.232,0,2.75,,,,,
382,12/10/2020 2:16,0.453,0,2.75,,,,,
383,12/10/2020 8:16,0.784,290.6,2.75,,,,,
384,12/10/2020 14:16,0.121,172.2,2.75,,,,,
385,12/10/2020 20:16,-0.662,0,2.75,,,,,
386,12/11/2020 2:16,-0.774,0,2.75,,,,,
387,12/11/2020 8:16,-1.114,0,2.75,,,,,
388,12/11/2020 14:16,-1.001,129.2,2.75,,,,,
389,12/11/2020 20:16,-0.887,0,2.75,,,,,
390,12/12/2020 2:16,-0.662,0,2.75,,,,,
391,12/12/2020 8:16,-1.228,10.8,2.75,,,,,
392,12/12/2020 14:16,-0.549,204.5,2.75,,,,,
393,12/12/2020 20:16,-0.887,0,2.75,,,,,
394,12/13/2020 2:16,0.01,0,2.74,,,,,
395,12/13/2020 8:16,0.121,10.8,2.74,,,,,
396,12/13/2020 14:16,0.121,419.8,2.74,,,,,
397,12/13/2020 20:16,0.01,0,2.74,,,,,
398,12/14/2020 2:16,-0.102,0,2.74,,,,,
399,12/14/2020 8:16,-0.437,10.8,2.75,,,,,
