Plot Title: 20400438,,,,,
#,"Date Time, GMT-07:00","Temp, °C","Intensity, lum/ft²",Coupler Detached,End Of File
608,1/15/2019 9:00,0.121,0,,
609,1/15/2019 15:00,0.232,1,,
610,1/15/2019 21:00,0.232,0,,
611,1/16/2019 3:00,0.232,0,,
612,1/16/2019 9:00,0.232,0,,
613,1/16/2019 15:00,0.232,0,,
614,1/16/2019 21:00,0.232,0,,
615,1/17/2019 3:00,0.232,0,,
616,1/17/2019 9:00,0.232,0,,
617,1/17/2019 15:00,0.232,0,,
618,1/17/2019 21:00,0.232,0,,
619,1/18/2019 3:00,0.232,0,,
620,1/18/2019 9:00,0.232,0,,
621,1/18/2019 15:00,0.232,0,,
622,1/18/2019 21:00,0.232,0,,
623,1/19/2019 3:00,0.232,0,,
624,1/19/2019 9:00,0.343,0,,
625,1/19/2019 15:00,0.232,3,,
626,1/19/2019 21:00,0.232,0,,
627,1/20/2019 3:00,0.232,0,,
628,1/20/2019 9:00,0.232,0,,
629,1/20/2019 15:00,0.232,5,,
630,1/20/2019 21:00,0.232,0,,
631,1/21/2019 3:00,0.121,0,,
632,1/21/2019 9:00,0.01,0,,
633,1/21/2019 15:00,0.01,2,,
634,1/21/2019 21:00,-0.213,0,,
635,1/22/2019 3:00,-0.213,0,,
636,1/22/2019 9:00,-0.102,0,,
637,1/22/2019 15:00,0.01,1,,
638,1/22/2019 21:00,0.232,0,,
639,1/23/2019 3:00,0.232,0,,
640,1/23/2019 9:00,0.232,0,,
641,1/23/2019 15:00,0.232,15,,
642,1/23/2019 21:00,0.232,0,,
643,1/24/2019 3:00,0.232,0,,
